Category,Item_Code,Price,Quantity
36,bz,0.163,699
36,bz,0.288,200
36,bz,0.384,94569
36,wa,0.286,7102
36,wa,0.292,1
36,wa,0.3,1
36,wa,0.315,618
36,wa,0.336,59999
36,wa,0.35,1
36,wa,0.52,23552
36,wa,0.626,20656
36,wa,0.693,128
36,wa,0.702,5
36,wa,1.067,9518
36,mt,0.016,39220
36,mt,0.019,200
36,mt,0.02,95650
36,mt,0.086,45941
36,mt,0.1,1414
36,mt,0.116,1
36,mt,0.5,203
36,mt,0.502,293
36,me,0.011,39968
36,me,0.012,200
36,me,0.014,594
36,me,0.031,92500
36,me,0.078,1
36,me,0.08,1
36,me,0.5,1414
36,me,0.502,95940
36,go,0.047,24322
36,go,0.094,96333
36,go,0.101,1
36,go,0.104,95244
36,go,0.123,635
36,go,0.155,1
36,go,0.196,1
36,go,0.335,96009
36,za,0.006,803
36,za,0.011,200
36,za,0.035,200
36,za,0.063,96616
36,za,0.098,1
36,za,0.174,1
36,za,0.5,1414
36,za,0.502,93476
36,wb,0.04,95593
36,wb,0.059,1407
36,wb,0.183,128
36,wb,0.187,675
36,wb,0.24,95752
36,wb,0.451,9264
36,wx,0.023,36950
36,wx,0.024,91889
36,wx,0.04,1411
36,wx,0.045,200
36,wx,0.054,623
36,wx,0.2,90121
36,wx,0.215,1
36,wx,0.502,6277
36,kc,0.006,40290
36,kc,0.011,200
36,kc,0.08,1
36,kc,0.091,200
36,kc,0.123,99574
36,kc,0.196,1
36,kc,0.238,1414
36,kc,0.316,90971
36,dp,0.004,39943
36,dp,0.006,400
36,dp,0.01,191695
36,yw,0.004,5941
